chrom	midpoint	midpoint+1	c-w sum	c-w distance	replicate id
chr11	115014	115015	6.0	26	1
chr11	118443	118444	19.0	21	1
chr11	171537	171538	15.0	35	1
chr11	174002	174003	381.0	29	1
chr11	219830	219831	13.0	18	1
chr11	309624	309625	33.0	23	1
chr11	523689	523690	19.0	36	1
chr11	589657	589658	32.0	22	1
chr11	618629	618630	19.0	24	1
chr11	619171	619172	125.0	18	1
chr11	666142	666143	43.0	37	1
chr11	666275	666276	20.0	30	1
chr11	666300	666301	23.0	33	1
chr11	666383	666384	20.0	33	1
chr11	666431	666432	64.0	29	1
chr10	99506	99507	6.0	36	1
chr10	123434	123435	32.0	23	1
chr10	136916	136917	4.0	37	1
chr10	223581	223582	29.0	22	1
chr10	246339	246340	9.0	18	1
chr10	391994	391995	59.0	26	1
chr10	424225	424226	26.0	20	1
chr10	585865	585866	24.0	21	1
chr10	649554	649555	48.0	18	1
chr10	663590	663591	615.0	22	1
chr10	683593	683594	33.0	33	1
chr10	745670	745671	33.0	32	1
chr10	745705	745706	68.0	36	1
chr16	6859	6860	6.0	25	1
chr16	75366	75367	45.0	20	1
chr16	105619	105620	23.0	24	1
chr16	147262	147263	60.0	20	1
chr16	159660	159661	41.0	25	1
chr16	326427	326428	24.0	20	1
chr16	408843	408844	24.0	34	1
chr16	581347	581348	10.0	35	1
chr16	730289	730290	8.0	21	1
chr16	730346	730347	130.0	29	1
chr16	770922	770923	18.0	20	1
chr16	822112	822113	5.0	19	1
chr16	860367	860368	11.0	37	1
chr15	42	43	24.0	29	1
chr15	109671	109672	23.0	26	1
chr15	168205	168206	27.0	34	1
chr15	373630	373631	87.0	35	1
chr15	421776	421777	160.0	35	1
chr15	520771	520772	274.0	25	1
chr15	554939	554940	32.0	22	1
chr15	566306	566307	8.0	28	1
chr15	720341	720342	25.0	31	1
chr15	781666	781667	112.0	35	1
chr15	781698	781699	27.0	25	1
chr15	968272	968273	95.0	24	1
chr15	979548	979549	13.0	20	1
chr15	989658	989659	77.0	31	1
chr15	1064058	1064059	10.0	23	1
chr14	6632	6633	20.0	22	1
chr14	6680	6681	52.0	19	1
chr14	6995	6996	10.0	33	1
chr14	19478	19479	78.0	19	1
chr14	88912	88913	87.0	29	1
chr14	349351	349352	4.0	24	1
chr14	405796	405797	850.0	26	1
chr14	452180	452181	44.0	24	1
chr14	479358	479359	615.0	24	1
chr14	503274	503275	97.0	21	1
chr14	604818	604819	8.0	20	1
chr14	618392	618393	66.0	28	1
chr14	619956	619957	72.0	19	1
chr14	651906	651907	13.0	24	1
chr14	784042	784043	35.0	25	1
chr14	784259	784260	34.0	33	1
chr7	13241	13242	7.0	19	2
chr7	35187	35188	56.0	19	2
chr7	35319	35320	11.0	30	2
chr7	35345	35346	8.0	17	2
chr7	37030	37031	4.0	32	2
chr7	53789	53790	9.0	29	2
chr7	53807	53808	22.0	24	2
chr7	56383	56384	4.0	20	2
chr7	79106	79107	65.0	32	2
chr7	79143	79144	14.0	27	2
chr7	87350	87351	15.0	18	2
chr7	115483	115484	12.0	20	2
chr7	115683	115684	7.0	19	2
chr7	115728	115729	14.0	29	2
chr7	122263	122264	35.0	20	2
chr7	122946	122947	4.0	32	2
chr7	123262	123263	8.0	30	2
chr7	123358	123359	8.0	22	2
chr7	123459	123460	35.0	22	2
chr7	123570	123571	9.0	36	2
chr7	123587	123588	6.0	32	2
chr7	123623	123624	9.0	18	2
chr7	123806	123807	6.0	22	2
chr7	129312	129313	11.0	35	2
chr7	144494	144495	16.0	29	2
chr7	217293	217294	11.0	29	2
chr7	245261	245262	18.0	24	2
chr7	271519	271520	16.0	33	2
chr7	271735	271736	11.0	22	2
chr7	272816	272817	12.0	25	2
chr7	273041	273042	36.0	25	2
chr7	273318	273319	8.0	17	2
chr7	310893	310894	4.0	23	2
chr7	316286	316287	8.0	21	2
chr7	316405	316406	11.0	29	2
chr7	316429	316430	17.0	33	2
chr7	316469	316470	5.0	35	2
chr7	319896	319897	5.0	28	2
chr7	321577	321578	26.0	30	2
chr7	328680	328681	6.0	20	2
chr7	345652	345653	14.0	22	2
chr7	345725	345726	13.0	35	2
chr7	346050	346051	14.0	32	2
chr7	366709	366710	6.0	29	2
chr7	374904	374905	17.0	23	2
chr7	375033	375034	19.0	36	2
chr7	393750	393751	8.0	20	2
chr7	393773	393774	25.0	25	2
chr7	393793	393794	63.0	30	2
chr7	398116	398117	4.0	34	2
chr7	401618	401619	12.0	18	2
chr7	409314	409315	13.0	26	2
chr7	481652	481653	5.0	36	2
chr7	485294	485295	13.0	25	2
chr7	485359	485360	12.0	18	2
chr7	485385	485386	11.0	25	2
chr7	495911	495912	14.0	17	2
chr7	500065	500066	28.0	21	2
chr7	511056	511057	5.0	20	2
chr7	511108	511109	13.0	34	2
chr7	512640	512641	5.0	37	2
chr7	513238	513239	13.0	37	2
chr7	532787	532788	10.0	18	2
chr7	547413	547414	57.0	23	2
chr7	548323	548324	40.0	23	2
chr7	560230	560231	10.0	27	2
chr7	560490	560491	15.0	26	2
chr7	560604	560605	6.0	20	2
chr7	584639	584640	41.0	23	2
chr7	584730	584731	27.0	28	2
chr7	592684	592685	13.0	25	2
chr7	601423	601424	13.0	26	2
chr7	609714	609715	10.0	35	2
chr7	625515	625516	27.0	25	2
chr7	640468	640469	20.0	31	2
chr7	648241	648242	19.0	27	2
chr7	648264	648265	17.0	24	2
chr7	648286	648287	12.0	25	2
chr7	651491	651492	10.0	17	2
chr7	652812	652813	9.0	34	2
chr7	731789	731790	11.0	22	2
chr7	753936	753937	21.0	21	2
chr7	756742	756743	14.0	27	2
chr7	756880	756881	8.0	17	2
chr7	757387	757388	14.0	21	2
chr7	770347	770348	11.0	20	2
chr7	770498	770499	15.0	21	2
chr7	843893	843894	11.0	35	2
chr7	854952	854953	22.0	29	2
chr7	855077	855078	45.0	17	2
chr7	888724	888725	18.0	37	2
chr7	889555	889556	26.0	26	2
chr7	892143	892144	6.0	27	2
chr7	906245	906246	43.0	25	2
chr7	920583	920584	4.0	17	2
chr7	932055	932056	15.0	25	2
chr7	937023	937024	22.0	24	2
chr7	962154	962155	5.0	37	2
chr7	962265	962266	23.0	30	2
chr7	976867	976868	9.0	27	2
chr7	987009	987010	17.0	26	2
chr7	1022443	1022444	11.0	20	2
chr7	1026034	1026035	17.0	28	2
chr7	1026264	1026265	21.0	30	2
chr7	1051905	1051906	20.0	36	2
chr7	1070170	1070171	12.0	32	2
chr7	1084024	1084025	34.0	30	2
chr7	1084056	1084057	13.0	31	2
chr6	55070	55071	11.0	18	2
chr6	55253	55254	22.0	19	2
chr6	56148	56149	78.0	19	2
chr6	90280	90281	21.0	19	2
chr6	90838	90839	3038.0	18	2
chr6	95530	95531	6.0	21	2
chr6	95563	95564	10.0	23	2
chr6	95598	95599	13.0	27	2
chr6	96692	96693	7.0	22	2
chr6	106687	106688	10.0	23	2
chr6	129881	129882	6.0	37	2
chr6	130568	130569	6.0	37	2
chr6	150239	150240	6.0	23	2
chr6	160232	160233	8.0	30	2
chr6	173477	173478	28.0	25	2
chr6	173492	173493	12.0	35	2
chr6	183931	183932	14.0	20	2
chr6	196634	196635	36.0	25	2
chr6	226757	226758	6.0	26	2
chr6	249911	249912	5.0	23	2
chr6	249930	249931	18.0	18	2
chr6	249954	249955	14.0	28	2
chr6	250289	250290	24.0	31	2
chr6	250341	250342	14.0	36	2
chr6	251848	251849	9.0	17	2
chr6	252094	252095	7.0	17	2
chr5	13151	13152	6.0	32	2
chr5	42189	42190	33.0	22	2
chr5	42226	42227	118.0	26	2
chr5	117915	117916	19.0	30	2
chr5	131457	131458	31.0	29	2
chr5	131484	131485	27.0	24	2
chr5	131605	131606	23.0	34	2
chr5	131630	131631	11.0	21	2
chr5	178772	178773	14.0	33	2
chr5	191945	191946	14.0	19	2
chr5	192441	192442	4.0	34	2
chr5	192587	192588	11.0	24	2
chr5	192707	192708	9.0	28	2
chr5	194670	194671	6.0	20	2
chr5	196816	196817	44.0	29	2
chr5	196842	196843	19.0	28	2
chr5	196890	196891	13.0	23	2
chr5	204843	204844	15.0	23	2
chr5	214882	214883	11.0	21	2
chr5	230028	230029	15.0	31	2
chr5	250452	250453	10.0	20	2
chr5	254420	254421	7.0	23	2
chr5	260194	260195	21.0	37	2
chr5	280335	280336	10.0	31	2
chr5	287304	287305	18.0	25	2
chr5	287326	287327	14.0	25	2
chr5	294089	294090	9.0	30	2
chr5	305984	305985	13.0	27	2
chr5	332762	332763	8.0	25	2
chr5	342630	342631	14.0	29	2
chr5	349666	349667	27.0	22	2
chr5	349686	349687	31.0	28	2
chr5	372095	372096	9.0	34	2
chr5	372437	372438	7.0	21	2
chr5	386510	386511	5.0	29	2
chr5	434623	434624	12.0	19	2
chr5	439221	439222	15.0	18	2
chr5	439252	439253	15.0	34	2
chr5	439360	439361	12.0	28	2
chr5	462562	462563	10.0	32	2
chr5	484777	484778	6.0	28	2
chr5	503892	503893	74.0	18	2
chr5	504883	504884	5.0	37	2
chr5	546743	546744	10.0	30	2
chr5	570203	570204	37.0	29	2
chr5	570219	570220	34.0	31	2
chr5	570237	570238	69.0	31	2
chr4	34726	34727	4.0	34	2
chr4	68895	68896	9.0	25	2
chr4	116053	116054	20.0	22	2
chr4	147988	147989	131.0	20	2
chr4	148016	148017	143.0	22	2
chr4	148038	148039	226.0	22	2
chr4	167530	167531	73.0	17	2
chr4	167575	167576	58.0	25	2
chr4	167800	167801	18.0	28	2
chr4	168854	168855	6.0	24	2
chr4	176129	176130	11.0	35	2
chr4	176306	176307	9.0	37	2
chr4	176369	176370	8.0	19	2
chr4	176559	176560	25.0	37	2
chr4	211148	211149	13.0	17	2
chr4	211502	211503	9.0	30	2
chr4	215817	215818	43.0	27	2
chr4	234130	234131	8.0	34	2
chr4	234338	234339	11.0	31	2
chr4	243392	243393	9.0	25	2
chr4	255259	255260	27.0	27	2
chr4	286810	286811	22.0	19	2
chr4	301197	301198	5.0	24	2
chr4	301229	301230	12.0	21	2
chr4	302893	302894	12.0	32	2
chr4	330642	330643	40.0	28	2
chr4	330658	330659	47.0	19	2
chr4	330679	330680	25.0	19	2
chr4	332670	332671	37.0	18	2
chr4	352403	352404	8.0	31	2
chr4	369343	369344	109.0	31	2
chr4	369377	369378	266.0	28	2
chr4	372164	372165	17.0	23	2
chr4	372188	372189	21.0	27	2
chr4	381593	381594	5.0	26	2
chr4	381631	381632	8.0	26	2
chr4	393702	393703	10.0	18	2
chr4	407472	407473	25.0	23	2
chr4	417980	417981	11.0	36	2
chr4	437913	437914	110.0	26	2
chr4	442431	442432	9.0	33	2
chr4	449427	449428	11.0	33	2
chr4	453826	453827	17.0	27	2
chr4	478933	478934	15.0	22	2
chr4	501771	501772	17.0	33	2
chr4	505024	505025	26.0	26	2
chr4	524926	524927	49.0	30	2
chr4	524947	524948	19.0	35	2
chr4	524983	524984	8.0	32	2
chr4	539108	539109	11.0	28	2
chr4	545287	545288	14.0	21	2
chr4	556783	556784	11.0	34	2
chr4	556826	556827	75.0	20	2
chr4	562960	562961	31.0	27	2
chr4	592270	592271	13.0	20	2
chr4	592317	592318	12.0	30	2
chr4	617443	617444	6.0	30	2
chr4	628736	628737	58.0	32	2
chr4	628778	628779	9.0	18	2
chr4	629674	629675	13.0	17	2
chr4	653140	653141	7.0	34	2
chr4	653292	653293	27.0	28	2
chr4	742112	742113	7.0	30	2
chr4	746444	746445	14.0	25	2
chr4	751408	751409	16.0	24	2
chr4	768275	768276	12.0	27	2
chr4	787385	787386	7.0	27	2
chr4	811744	811745	14.0	31	2
chr4	811909	811910	9.0	17	2
chr4	842053	842054	10.0	22	2
chr4	842108	842109	10.0	32	2
chr4	842217	842218	20.0	21	2
chr4	842237	842238	6.0	28	2
chr4	867564	867565	11.0	20	2
chr4	867605	867606	11.0	32	2
chr4	867901	867902	12.0	21	2
chr4	907090	907091	11.0	21	2
chr4	907135	907136	13.0	28	2
chr4	924005	924006	9.0	29	2
chr4	926948	926949	32.0	20	2
chr4	972323	972324	11.0	24	2
chr4	1059023	1059024	10.0	23	2
chr4	1071714	1071715	41.0	19	2
chr4	1075213	1075214	9.0	23	2
chr4	1075416	1075417	14.0	26	2
chr4	1075551	1075552	31.0	20	2
chr4	1113643	1113644	13.0	29	2
chr4	1114066	1114067	22.0	27	2
chr4	1114305	1114306	11.0	23	2
chr4	1251909	1251910	13.0	23	2
chr4	1263755	1263756	6.0	22	2
chr4	1269917	1269918	9.0	32	2
chr4	1279546	1279547	9.0	33	2
chr4	1294578	1294579	8.0	26	2
chr4	1359083	1359084	10.0	20	2
chr4	1359121	1359122	12.0	22	2
chr4	1362537	1362538	18.0	19	2
chr4	1369169	1369170	11.0	32	2
chr4	1369335	1369336	10.0	34	2
chr4	1369617	1369618	10.0	23	2
chr4	1376052	1376053	9.0	30	2
chr4	1394783	1394784	19.0	23	2
chr4	1394806	1394807	30.0	34	2
chr4	1417156	1417157	24.0	22	2
chr4	1429183	1429184	13.0	34	2
chr4	1469190	1469191	1893.0	26	2
chr4	1469254	1469255	24.0	32	2
chr4	1481258	1481259	9.0	26	2
chr4	1483956	1483957	6.0	28	2
chr4	1484077	1484078	4.0	32	2
chr4	1493407	1493408	6.0	22	2
chr4	1525251	1525252	565.0	30	2
chr3	50569	50570	5.0	28	2
chr3	51102	51103	17.0	37	2
chr3	51574	51575	12.0	17	2
chr3	137103	137104	10.0	22	2
chr3	137135	137136	6.0	33	2
chr3	178848	178849	16.0	31	2
chr3	178971	178972	23.0	33	2
chr3	179044	179045	22.0	34	2
chr3	179166	179167	13.0	31	2
chr3	205480	205481	11.0	34	2
chr3	236874	236875	12.0	25	2
chr3	236931	236932	97.0	17	2
chr3	237364	237365	13.0	33	2
chr3	289452	289453	10.0	25	2
chr3	316196	316197	9.0	22	2
chr2	6191	6192	64.0	26	2
chr2	60069	60070	18.0	18	2
chr2	69612	69613	4.0	24	2
chr2	69927	69928	9.0	32	2
chr2	111044	111045	12.0	34	2
chr2	111141	111142	19.0	22	2
chr2	111272	111273	61.0	23	2
chr2	111615	111616	5.0	37	2
chr2	122172	122173	26.0	34	2
chr2	124988	124989	122.0	25	2
chr2	132247	132248	10.0	29	2
chr2	136006	136007	7.0	30	2
chr2	143103	143104	7.0	24	2
chr2	151034	151035	7.0	22	2
chr2	151614	151615	16.0	37	2
chr2	158837	158838	5.0	32	2
chr2	165243	165244	13.0	36	2
chr2	197707	197708	19.0	30	2
chr2	202056	202057	6.0	34	2
chr2	202515	202516	93.0	37	2
chr2	203175	203176	7.0	36	2
chr2	273245	273246	16.0	19	2
chr2	276570	276571	15.0	20	2
chr2	276597	276598	21.0	22	2
chr2	276688	276689	6.0	23	2
chr2	307031	307032	16.0	18	2
chr2	310423	310424	13.0	18	2
chr2	336857	336858	12.0	20	2
chr2	336995	336996	15.0	36	2
chr2	340656	340657	6.0	32	2
chr2	340805	340806	17.0	17	2
chr2	378048	378049	29.0	29	2
chr2	405860	405861	7.0	29	2
chr2	414332	414333	15.0	29	2
chr2	414364	414365	31.0	26	2
chr2	415105	415106	6.0	36	2
chr2	415583	415584	10.0	17	2
chr2	427310	427311	11.0	36	2
chr2	427769	427770	7.0	25	2
chr2	434199	434200	10.0	19	2
chr2	466945	466946	19.0	35	2
chr2	496963	496964	16.0	31	2
chr2	496988	496989	26.0	17	2
chr2	497062	497063	9.0	30	2
chr2	504361	504362	6.0	36	2
chr2	505645	505646	18.0	37	2
chr2	532328	532329	8.0	28	2
chr2	565442	565443	4.0	17	2
chr2	582240	582241	22.0	36	2
chr2	589370	589371	7.0	27	2
chr2	595151	595152	6.0	23	2
chr2	595778	595779	52.0	22	2
chr2	618628	618629	8.0	24	2
chr2	618678	618679	26.0	29	2
chr2	627912	627913	11.0	29	2
chr2	628090	628091	10.0	37	2
chr2	628249	628250	78.0	18	2
chr2	628289	628290	44.0	21	2
chr2	657210	657211	8.0	20	2
chr2	661797	661798	11.0	32	2
chr2	668578	668579	12.0	19	2
chr2	691476	691477	13.0	27	2
chr2	691528	691529	6.0	24	2
chr2	691613	691614	29.0	35	2
chr2	691631	691632	11.0	28	2
chr2	691800	691801	21.0	33	2
chr2	692138	692139	5.0	28	2
chr2	722726	722727	9.0	28	2
chr2	722809	722810	14.0	21	2
chr2	728253	728254	15.0	26	2
chr1	246	247	150.0	35	2
chr1	427	428	111.0	29	2
chr1	70976	70977	27.0	31	2
chr1	87069	87070	10.0	20	2
chr1	119725	119726	8.0	31	2
chr1	119828	119829	13.0	28	2
chr1	124689	124690	10.0	34	2
chr1	136497	136498	9.0	26	2
chr9	60763	60764	8.0	32	2
chr9	68368	68369	32.0	30	2
chr9	77414	77415	6.0	34	2
chr9	117516	117517	7.0	37	2
chr9	122325	122326	117.0	27	2
chr9	131603	131604	10.0	31	2
chr9	131977	131978	26.0	31	2
chr9	139551	139552	4.0	30	2
chr9	142569	142570	124.0	18	2
chr9	142629	142630	11.0	32	2
chr9	160493	160494	53.0	34	2
chr9	160615	160616	41.0	22	2
chr9	198387	198388	10.0	32	2
chr9	220904	220905	37.0	29	2
chr9	220925	220926	21.0	24	2
chr9	220965	220966	10.0	25	2
chr9	244857	244858	9.0	37	2
chr9	244901	244902	20.0	26	2
chr9	268994	268995	19.0	34	2
chr9	310914	310915	452.0	29	2
chr9	311301	311302	10.0	23	2
chr9	343452	343453	5.0	24	2
chr9	360926	360927	15.0	18	2
chr9	361004	361005	5.0	31	2
chr9	381014	381015	23.0	26	2
chr9	381032	381033	17.0	23	2
chr9	381295	381296	6.0	24	2
chr9	439468	439469	49.0	35	2
chr8	5022	5023	15.0	23	2
chr8	5070	5071	36.0	37	2
chr8	5122	5123	43.0	24	2
chr8	12095	12096	18.0	27	2
chr8	39674	39675	22.0	31	2
chr8	39692	39693	27.0	37	2
chr8	39723	39724	14.0	25	2
chr8	39742	39743	43.0	34	2
chr8	39807	39808	12.0	30	2
chr8	40447	40448	11.0	22	2
chr8	98668	98669	18.0	29	2
chr8	117511	117512	11.0	27	2
chr8	151351	151352	6.0	20	2
chr8	151484	151485	9.0	32	2
chr8	160667	160668	9.0	37	2
chr8	249706	249707	5.0	32	2
chr8	272103	272104	13.0	32	2
chr8	272607	272608	8.0	32	2
chr8	281127	281128	12.0	26	2
chr8	302547	302548	11.0	24	2
chr8	374439	374440	9.0	31	2
chr8	374684	374685	4.0	34	2
chr8	374728	374729	11.0	30	2
chr8	381474	381475	7.0	31	2
chr8	402768	402769	26.0	17	2
chr8	437201	437202	5.0	19	2
chr8	456416	456417	20.0	21	2
chr8	459098	459099	10.0	28	2
chr8	466975	466976	6.0	19	2
chr8	480908	480909	9.0	20	2
chr8	506172	506173	80.0	20	2
chr8	506204	506205	19.0	33	2
chr8	508783	508784	44.0	29	2
chr8	556394	556395	41.0	34	2
chr8	556975	556976	15.0	21	2
chr13	14702	14703	11.0	22	2
chr13	15215	15216	13.0	22	2
chr13	29153	29154	11.0	31	2
chr13	29363	29364	10.0	21	2
chr13	29670	29671	17.0	22	2
chr13	29718	29719	11.0	27	2
chr13	29830	29831	9.0	21	2
chr13	30147	30148	16.0	22	2
chr13	30163	30164	8.0	19	2
chr13	67632	67633	13.0	22	2
chr13	67789	67790	19.0	34	2
chr13	70256	70257	15.0	17	2
chr13	101607	101608	29.0	37	2
chr13	101647	101648	19.0	25	2
chr13	102688	102689	6.0	27	2
chr13	104383	104384	11.0	18	2
chr13	118337	118338	12.0	21	2
chr13	135373	135374	17.0	20	2
chr13	135422	135423	16.0	22	2
chr13	159668	159669	15.0	29	2
chr13	170180	170181	13.0	19	2
chr13	192113	192114	9.0	28	2
chr13	192297	192298	10.0	24	2
chr13	195387	195388	10.0	25	2
chr13	195823	195824	11.0	34	2
chr13	271722	271723	9.0	23	2
chr13	273061	273062	10.0	21	2
chr13	273237	273238	15.0	34	2
chr13	303021	303022	16.0	24	2
chr13	308993	308994	13.0	30	2
chr13	312118	312119	23.0	17	2
chr13	312230	312231	10.0	33	2
chr13	353048	353049	18.0	36	2
chr13	353240	353241	14.0	24	2
chr13	366404	366405	14.0	35	2
chr13	366590	366591	9.0	32	2
chr13	366932	366933	30.0	33	2
chr13	367072	367073	16.0	32	2
chr13	367136	367137	9.0	35	2
chr13	439254	439255	11.0	21	2
chr13	469627	469628	16.0	20	2
chr13	478837	478838	25.0	29	2
chr13	510713	510714	10.0	28	2
chr13	510740	510741	12.0	25	2
chr13	510796	510797	18.0	37	2
chr13	545760	545761	14.0	37	2
chr13	545879	545880	16.0	19	2
chr13	560838	560839	6.0	32	2
chr13	577456	577457	6.0	17	2
chr13	626045	626046	69.0	30	2
chr13	628140	628141	8.0	21	2
chr13	632155	632156	26.0	22	2
chr13	632235	632236	12.0	17	2
chr13	653379	653380	16.0	27	2
chr13	653412	653413	15.0	32	2
chr13	675479	675480	6.0	37	2
chr13	684028	684029	12.0	19	2
chr13	684141	684142	34.0	34	2
chr13	694835	694836	8.0	29	2
chr13	777693	777694	12.0	35	2
chr13	782828	782829	11.0	35	2
chr13	797748	797749	11.0	37	2
chr13	832022	832023	11.0	17	2
chr13	836031	836032	7.0	18	2
chr13	854687	854688	45.0	18	2
chr13	854717	854718	11.0	28	2
chr13	854747	854748	10.0	33	2
chr13	880922	880923	14.0	27	2
chr12	5814	5815	32.0	28	2
chr12	37375	37376	15.0	18	2
chr12	40409	40410	4.0	35	2
chr12	40893	40894	6.0	37	2
chr12	49745	49746	16.0	25	2
chr12	63366	63367	9.0	20	2
chr12	63548	63549	5.0	18	2
chr12	63776	63777	34.0	32	2
chr12	108497	108498	6.0	20	2
chr12	108558	108559	37.0	27	2
chr12	120929	120930	8.0	35	2
chr12	120952	120953	11.0	28	2
chr12	121291	121292	12.0	30	2
chr12	121316	121317	26.0	36	2
chr12	129897	129898	13.0	26	2
chr12	131489	131490	7.0	33	2
chr12	198749	198750	7.0	25	2
chr12	234182	234183	5.0	22	2
chr12	234839	234840	42.0	33	2
chr12	234960	234961	5.0	33	2
chr12	283117	283118	6.0	34	2
chr12	293632	293633	15.0	37	2
chr12	293791	293792	17.0	31	2
chr12	296712	296713	5.0	37	2
chr12	345921	345922	7.0	24	2
chr12	369778	369779	14.0	36	2
chr12	377348	377349	11.0	17	2
chr12	377406	377407	51.0	27	2
chr12	377637	377638	10.0	19	2
chr12	377799	377800	11.0	26	2
chr12	399022	399023	12.0	35	2
chr12	399722	399723	6.0	33	2
chr12	402050	402051	10.0	23	2
chr12	438172	438173	14.0	36	2
chr12	438193	438194	6.0	34	2
chr12	459869	459870	83.0	32	2
chr12	459904	459905	155.0	22	2
chr12	459982	459983	31.0	24	2
chr12	460040	460041	78.0	36	2
chr12	460141	460142	80.0	34	2
chr12	489893	489894	14.0	21	2
chr12	490609	490610	11.0	32	2
chr12	490641	490642	47.0	36	2
chr12	500641	500642	7.0	24	2
chr12	501107	501108	14.0	25	2
chr12	501258	501259	17.0	32	2
chr12	514542	514543	9.0	17	2
chr12	514568	514569	11.0	31	2
chr12	559415	559416	12.0	29	2
chr12	566127	566128	5.0	19	2
chr12	566391	566392	9.0	18	2
chr12	568565	568566	5.0	36	2
chr12	576556	576557	8.0	20	2
chr12	586072	586073	141.0	36	2
chr12	586094	586095	128.0	35	2
chr12	586175	586176	14.0	36	2
chr12	586187	586188	8.0	33	2
chr12	633428	633429	8.0	26	2
chr12	645809	645810	10.0	34	2
chr12	645841	645842	24.0	28	2
chr12	669113	669114	24.0	25	2
chr12	680962	680963	10.0	35	2
chr12	680982	680983	23.0	30	2
chr12	694310	694311	10.0	29	2
chr12	699707	699708	22.0	27	2
chr12	710741	710742	5.0	27	2
chr12	725573	725574	21.0	36	2
chr12	725591	725592	13.0	32	2
chr12	751826	751827	9.0	36	2
chr12	823453	823454	40.0	25	2
